,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
3159,Ashok Dinda,3.0,0,18,1,6.0,10,2,0,0,0,25,Pune Warriors,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field
3160,Ashish Nehra,3.0,0,22,0,7.33,7,3,0,0,0,0,Pune Warriors,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field
3161,Marlon Samuels,3.4,0,27,0,7.36,11,5,0,0,0,0,Pune Warriors,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field
3162,Angelo Mathews,3.0,0,20,1,6.67,9,3,0,0,0,25,Pune Warriors,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field
3163,Jesse Ryder,2.0,0,12,0,6.0,5,1,0,0,0,0,Pune Warriors,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field
3164,Rahul Sharma,3.0,0,17,1,5.67,6,0,1,0,0,25,Pune Warriors,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field
3165,Lakshmipathy Balaji,4.0,0,27,0,6.75,14,3,1,3,0,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3166,Jacques Kallis,3.0,0,26,0,8.67,5,4,0,0,0,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3167,Sunil Narine,4.0,0,22,1,5.5,10,2,0,0,0,25,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3168,Shakib Al Hasan,4.0,0,17,3,4.25,11,1,0,0,0,85,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3169,Yusuf Pathan,3.0,0,19,0,6.33,10,2,0,1,0,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3170,Rajat Bhatia,2.0,0,19,0,9.5,3,1,1,1,0,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3171,Johan Botha,4.0,0,22,1,5.5,15,3,0,1,0,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3172,Amit Singh,4.0,0,29,1,7.25,9,3,1,0,0,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3173,Ankeet Chavan,3.2,0,32,0,9.6,7,1,2,2,0,0,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3174,Brad Hogg,4.0,0,20,1,5.0,13,2,0,1,0,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3175,Siddharth Trivedi,3.0,0,25,0,8.33,1,2,0,1,0,0,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3176,Ashok Menaria,1.0,0,3,1,3.0,3,0,0,0,0,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat
3177,Irfan Pathan,4.0,0,27,0,6.75,10,4,0,0,0,0,Delhi Capitals,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3178,Kevin Pietersen,2.0,0,16,0,8.0,5,2,0,1,0,0,Delhi Capitals,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3179,Morne Morkel,4.0,0,23,3,5.75,8,1,0,1,0,79,Delhi Capitals,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3180,Ajit Agarkar,3.0,0,42,0,14.0,3,5,2,1,0,-6,Delhi Capitals,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3181,Umesh Yadav,3.0,0,33,1,11.0,4,3,1,2,1,25,Delhi Capitals,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3182,Shahbaz Nadeem,4.0,0,16,3,4.0,9,0,0,0,0,85,Delhi Capitals,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3183,Veer Pratap Singh,4.0,0,31,1,7.75,9,3,1,0,0,25,Deccan Chargers,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3184,Dale Steyn,4.0,0,19,2,4.75,12,2,0,0,0,56,Deccan Chargers,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3185,Daniel Christian,4.0,0,35,1,8.75,8,4,1,2,0,25,Deccan Chargers,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3186,Jean-Paul Duminy,3.0,0,33,0,11.0,5,1,3,0,0,0,Deccan Chargers,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3187,Amit Mishra,2.0,0,26,0,13.0,5,1,3,1,0,-6,Deccan Chargers,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3188,Ankit Sharma,2.1,0,18,0,8.31,6,1,1,1,0,0,Deccan Chargers,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat
3189,Murali Kartik,3.0,0,18,0,6.0,10,1,1,0,0,0,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3190,Ashok Dinda,4.0,0,30,1,7.5,9,2,1,0,2,25,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3191,Ashish Nehra,4.0,0,43,1,10.75,4,5,1,1,0,25,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3192,Rahul Sharma,3.0,0,16,2,5.33,5,1,0,0,0,50,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3193,Marlon Samuels,4.0,0,29,0,7.25,6,1,1,1,0,0,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3194,Angelo Mathews,2.0,0,18,1,9.0,3,3,0,0,0,25,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3195,Nuwan Kulasekara,4.0,0,38,0,9.5,6,5,0,1,0,0,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3196,Albie Morkel,2.0,0,22,0,11.0,3,2,1,1,0,0,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3197,Ravichandran Ashwin,4.0,0,19,0,4.75,6,0,0,0,0,6,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3198,Dwayne Bravo,3.0,0,31,0,10.33,6,2,2,1,0,0,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3199,Suresh Raina,4.0,0,22,0,5.5,7,0,1,0,0,0,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3200,Yo Mahesh,2.2,0,22,1,9.43,7,3,1,0,0,25,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
3201,Yusuf Pathan,1.0,0,7,0,7.0,2,1,0,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3202,Jacques Kallis,4.0,0,30,0,7.5,10,3,1,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3203,Sunil Narine,4.0,0,19,5,4.75,14,1,1,1,0,147,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3204,Shakib Al Hasan,4.0,0,26,1,6.5,9,1,1,0,0,25,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3205,Jaydev Unadkat,3.0,0,32,0,10.67,2,1,2,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3206,Rajat Bhatia,4.0,0,14,2,3.5,13,0,0,0,0,56,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3207,Praveen Kumar,4.0,0,22,0,5.5,11,2,0,2,0,0,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3208,Bhargav Bhatt,4.0,0,24,2,6.0,8,2,0,0,0,50,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3209,Dimitri Mascarenhas,4.0,0,34,1,8.5,7,3,1,0,0,25,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3210,Harmeet Singh,4.0,0,27,1,6.75,7,3,0,0,0,25,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3211,Piyush Chawla,4.0,0,18,3,4.5,11,0,1,0,0,85,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
3212,Zaheer Khan,4.0,1,15,1,3.75,18,1,1,0,0,43,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3213,Sreenath Aravind,3.0,0,48,0,16.0,5,10,1,0,0,-6,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3214,Vinay Kumar,4.0,0,51,0,12.75,5,4,4,0,0,-6,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3215,Daniel Vettori,4.0,0,20,1,5.0,7,1,0,0,0,25,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3216,Muttiah Muralitharan,4.0,0,35,0,8.75,6,2,2,0,0,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3217,Chris Gayle,1.0,0,21,0,21.0,0,1,2,1,0,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3218,Johan Botha,4.0,0,30,1,7.5,12,1,3,0,0,25,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3219,Pankaj Singh,4.0,0,18,2,4.5,15,2,0,0,0,56,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3220,Amit Singh,3.5,0,43,2,11.22,8,6,1,0,0,50,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3221,Brad Hogg,4.0,0,19,1,4.75,8,1,0,0,0,31,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3222,Siddharth Trivedi,4.0,0,25,4,6.25,8,0,1,1,0,108,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat
3223,Irfan Pathan,4.0,1,12,1,3.0,16,1,0,0,0,43,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3224,Shahbaz Nadeem,4.0,0,16,2,4.0,15,2,0,1,0,56,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3225,Morne Morkel,4.0,1,22,2,5.5,15,4,0,1,0,62,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3226,Ajit Agarkar,3.2,0,27,2,8.1,8,3,1,1,0,50,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3227,Umesh Yadav,4.0,0,11,2,2.75,15,0,0,0,1,56,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3228,Munaf Patel,3.0,1,15,0,5.0,11,1,1,0,0,12,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3229,RP Singh,4.0,0,24,2,6.0,13,3,0,3,0,50,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3230,Clint McKay,3.0,0,24,0,8.0,5,3,0,0,0,0,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3231,Pragyan Ojha,4.0,0,19,1,4.75,11,0,0,0,0,31,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3232,Kieron Pollard,0.5,0,6,0,7.2,2,0,0,3,0,0,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field
3233,Pankaj Singh,3.0,0,37,0,12.33,4,4,2,0,0,-6,Rajasthan Royals,Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3234,Amit Singh,4.0,0,55,0,13.75,8,6,2,4,0,-6,Rajasthan Royals,Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3235,Johan Botha,4.0,0,29,0,7.25,7,3,0,0,0,0,Rajasthan Royals,Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3236,Siddharth Trivedi,4.0,0,27,1,6.75,11,2,1,1,0,25,Rajasthan Royals,Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3237,Brad Hogg,4.0,0,33,0,8.25,6,2,1,0,0,0,Rajasthan Royals,Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3238,Brad Hodge,1.0,0,13,1,13.0,1,1,1,0,0,25,Rajasthan Royals,Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3239,Ankit Sharma,4.0,0,33,0,8.25,6,2,1,1,0,0,Deccan Chargers,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3240,Dale Steyn,3.4,0,44,0,12.0,6,9,0,0,0,-6,Deccan Chargers,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3241,Daniel Christian,4.0,0,43,1,10.75,7,4,2,2,0,25,Deccan Chargers,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3242,Anand Rajan,4.0,0,45,1,11.25,4,6,1,1,1,25,Deccan Chargers,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3243,Amit Mishra,4.0,0,32,3,8.0,6,1,2,1,0,79,Deccan Chargers,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat
3244,Zaheer Khan,4.0,0,34,0,8.5,5,2,1,1,0,0,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3245,Tillakaratne Dilshan,2.0,0,24,0,12.0,3,3,1,0,0,-6,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3246,Vinay Kumar,4.0,0,34,2,8.5,9,4,1,1,0,50,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3247,Harshal Patel,4.0,0,29,1,7.25,10,3,1,0,0,25,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3248,Daniel Vettori,4.0,0,34,1,8.5,6,3,1,0,0,25,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3249,KP Appanna,2.0,0,23,0,11.5,1,0,2,1,0,0,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3250,Ashok Dinda,4.0,0,28,1,7.0,6,0,1,2,1,25,Pune Warriors,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3251,Ashish Nehra,4.0,0,54,1,13.5,8,2,6,0,1,19,Pune Warriors,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3252,Bhuvneshwar Kumar,4.0,0,27,0,6.75,10,4,0,0,0,0,Pune Warriors,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3253,Marlon Samuels,2.0,0,5,1,2.5,7,0,0,0,0,31,Pune Warriors,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3254,Angelo Mathews,4.0,0,35,1,8.75,7,2,2,0,0,25,Pune Warriors,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3255,Rahul Sharma,2.0,0,35,0,17.5,2,0,5,0,0,-6,Pune Warriors,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,bat
3256,Brett Lee,4.0,0,26,2,6.5,10,3,0,1,0,50,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3257,Jacques Kallis,3.0,0,23,0,7.67,3,2,0,0,0,0,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3258,Sunil Narine,4.0,0,24,2,6.0,11,2,1,0,0,50,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3259,Lakshmipathy Balaji,4.0,0,20,1,5.0,9,1,0,0,0,25,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3260,Yusuf Pathan,1.0,0,7,0,7.0,2,1,0,0,0,0,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3261,Rajat Bhatia,4.0,0,23,1,5.75,5,0,0,1,0,25,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3262,Praveen Kumar,3.0,1,23,0,7.67,10,4,0,0,0,12,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3263,Dimitri Mascarenhas,4.0,0,23,0,5.75,10,2,0,0,0,0,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3264,Harmeet Singh,2.0,0,26,0,13.0,4,2,2,1,0,-6,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3265,Piyush Chawla,4.0,0,19,2,4.75,11,1,0,0,0,56,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3266,Bhargav Bhatt,3.3,0,32,0,9.14,5,3,1,0,0,0,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,bat
3267,Andre Russell,4.0,0,39,0,9.75,8,6,1,0,0,0,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3268,Irfan Pathan,4.0,0,46,0,11.5,9,7,2,0,0,0,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3269,Morne Morkel,4.0,0,32,1,8.0,8,3,1,1,0,25,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3270,Varun Aaron,4.0,0,30,2,7.5,12,6,0,0,0,50,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3271,Shahbaz Nadeem,4.0,0,39,0,9.75,6,1,3,0,0,0,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3272,Shikhar Dhawan,2.0,0,27,1,13.5,5,3,2,1,0,19,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3273,TP Sudhindra,3.4,0,43,0,11.73,10,4,3,0,1,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3274,Manpreet Gony,4.0,0,22,0,5.5,13,1,1,1,0,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3275,Ashish Reddy,2.0,0,29,0,14.5,3,3,2,0,0,-6,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3276,Amit Mishra,4.0,0,44,0,11.0,4,2,2,0,1,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3277,Ankit Sharma,1.0,0,16,0,16.0,1,0,2,0,0,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
3278,Murali Kartik,4.0,0,24,0,6.0,9,1,1,0,0,0,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3279,Ashish Nehra,4.0,0,23,2,5.75,9,2,0,0,0,50,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3280,Bhuvneshwar Kumar,3.0,0,37,0,12.33,6,5,1,0,1,-6,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3281,Marlon Samuels,4.0,0,39,3,9.75,8,4,2,0,0,79,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3282,Rahul Sharma,4.0,0,28,0,7.0,9,1,1,0,0,0,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3283,Angelo Mathews,1.0,0,12,0,12.0,1,2,0,0,0,0,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3284,Doug Bollinger,3.0,0,30,1,10.0,7,5,0,0,0,25,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3285,Nuwan Kulasekara,2.0,0,10,2,5.0,9,2,0,0,0,50,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3286,Ravichandran Ashwin,4.0,0,35,1,8.75,9,2,1,1,1,25,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3287,Dwayne Bravo,4.0,0,28,2,7.0,8,0,1,1,0,50,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3288,Shadab Jakati,3.0,0,20,1,6.67,7,2,0,0,0,25,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3289,Ravindra Jadeja,4.0,0,21,0,5.25,7,0,0,1,0,0,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,field
3290,Zaheer Khan,4.0,0,25,2,6.25,10,1,0,0,0,50,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3291,Vinay Kumar,4.0,0,40,1,10.0,8,5,1,0,0,25,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3292,Harshal Patel,4.0,0,44,1,11.0,7,6,1,1,0,25,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3293,Andrew McDonald,4.0,0,25,2,6.25,6,0,1,1,0,50,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3294,Daniel Vettori,4.0,0,24,0,6.0,7,1,0,1,0,0,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3295,Praveen Kumar,4.0,0,35,0,8.75,9,3,1,4,0,0,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3296,Parvinder Awana,4.0,0,34,4,8.5,14,5,1,1,1,108,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3297,Piyush Chawla,4.0,0,21,1,5.25,9,0,1,0,0,25,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3298,Harmeet Singh,4.0,0,46,0,11.5,2,4,1,1,0,0,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3299,Azhar Mahmood,3.3,0,30,0,8.57,6,4,0,1,0,0,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,field
3300,Nuwan Kulasekara,4.0,0,17,1,4.25,15,2,0,0,0,31,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
3301,Doug Bollinger,4.0,0,31,1,7.75,11,4,1,1,0,25,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
3302,Dwayne Bravo,3.0,0,32,0,10.67,7,3,2,0,0,0,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
3303,Ravichandran Ashwin,4.0,0,19,1,4.75,13,2,0,0,0,31,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
3304,Shadab Jakati,2.0,0,12,1,6.0,6,0,1,0,0,25,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
3305,Ravindra Jadeja,3.0,0,32,0,10.67,6,1,1,2,0,0,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
3306,Ashok Menaria,2.0,0,10,0,5.0,7,0,1,0,0,0,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat
