,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
6306,Axar Patel,9,10,0,1,11,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai",90.0
6307,Mitchell Johnson,1,2,0,0,1,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai",50.0
6308,Anureet Singh,10,20,0,0,10,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai",50.0
6309,Karanveer Singh,2,5,0,0,-4,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai",40.0
6310,Sandeep Sharma,1,4,0,0,-5,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai",25.0
6311,Mayank Agarwal,27,34,1,1,30,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",79.41
6312,Shreyas Iyer,0,1,0,0,-2,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",0.0
6313,Jean Paul Duminy,13,14,2,0,15,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",92.86
6314,Yuvraj Singh,2,5,0,0,-4,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",40.0
6315,Angelo Mathews,0,1,0,0,-2,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",0.0
6316,Kedar Jadhav,33,29,4,0,37,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",113.79
6317,Nathan Coulter Nile,4,8,1,0,5,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",50.0
6318,Amit Mishra,2,4,0,0,2,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",50.0
6319,Shahbaz Nadeem,2,7,0,0,-4,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",28.57
6320,Imran Tahir,3,4,0,0,3,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",75.0
6321,Domnic Muthuswami,1,3,0,0,-5,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",33.33
6322,Chris Gayle,62,40,6,4,76,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",155.0
6323,Virat Kohli,35,23,6,0,41,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,"Arun Jaitley Stadium, Delhi",152.17
6324,David Warner,58,41,10,1,70,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",141.46
6325,Shikhar Dhawan,1,2,0,0,1,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",50.0
6326,Hanuma Vihari,9,8,2,0,11,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",112.5
6327,Moises Henriques,30,32,1,0,31,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",93.75
6328,Naman Ojha,28,26,3,0,31,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",107.69
6329,Ravi Bopara,0,2,0,0,-2,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
6330,Ashish Reddy,22,8,1,2,33,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",275.0
6331,Karn Sharma,1,1,0,0,1,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",100.0
6332,Murali Vijay,12,16,0,0,12,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",75.0
6333,Manan Vohra,5,9,1,0,6,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",55.56
6334,Shaun Marsh,1,4,0,0,-5,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",25.0
6335,George Bailey,22,16,3,0,25,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",137.5
6336,David Miller,15,14,1,0,16,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",107.14
6337,Wriddhiman Saha,42,33,2,1,46,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",127.27
6338,Axar Patel,17,13,0,1,19,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",130.77
6339,Rishi Dhawan,4,6,0,0,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",66.67
6340,Mitchell Johnson,4,6,0,0,4,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",66.67
6341,Anureet Singh,0,2,0,0,-2,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
6342,Sandeep Sharma,1,1,0,0,1,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",100.0
6343,Robin Uthappa,32,31,4,1,38,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",103.23
6344,Gautam Gambhir,12,10,2,0,14,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",120.0
6345,Manish Pandey,22,19,1,1,25,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",115.79
6346,Piyush Chawla,22,19,1,1,25,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",115.79
6347,Yusuf Pathan,42,24,3,3,57,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",175.0
6348,Andre Russell,5,5,1,0,6,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",100.0
6349,Suryakumar Yadav,7,7,0,0,7,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",100.0
6350,Johan Botha,17,5,4,0,27,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",340.0
6351,Manoj Tiwary,25,28,3,1,30,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",89.29
6352,Shreyas Iyer,40,35,3,2,47,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",114.29
6353,Jean Paul Duminy,25,16,2,1,29,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",156.25
6354,Kedar Jadhav,10,6,0,1,12,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",166.67
6355,Yuvraj Singh,0,3,0,0,-2,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",0.0
6356,Angelo Mathews,22,15,2,1,26,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",146.67
6357,Saurabh Tiwary,24,15,3,1,29,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",160.0
6358,Albie Morkel,5,2,1,0,12,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",250.0
6359,Chris Gayle,10,4,1,1,19,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",250.0
6360,Virat Kohli,1,4,0,0,-5,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",25.0
6361,AB de Villiers,57,45,9,1,68,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",126.67
6362,Mandeep Singh,27,20,4,0,31,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",135.0
6363,Dinesh Karthik,27,18,3,1,32,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",150.0
6364,Sarfaraz Khan,45,21,6,1,59,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",214.29
6365,David Wiese,11,8,2,0,13,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",137.5
6366,Harshal Patel,6,2,0,1,14,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",300.0
6367,Lendl Simmons,8,8,0,1,10,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",100.0
6368,Rohit Sharma,7,5,1,0,8,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",140.0
6369,Hardik Pandya,9,11,2,0,11,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",81.82
6370,Jos Buttler,0,2,0,0,-2,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",0.0
6371,Ambati Rayudu,22,27,2,0,24,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",81.48
6372,Kieron Pollard,1,8,0,0,-5,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",12.5
6373,Shreyas Gopal,2,16,0,0,-4,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",12.5
6374,Harbhajan Singh,45,30,7,1,54,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",150.0
6375,Vinay Kumar,12,11,0,1,14,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",109.09
6376,Mitchell McClenaghan,2,2,0,0,2,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",100.0
6377,Ajinkya Rahane,66,42,7,3,79,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",157.14
6378,Faf du Plessis,34,33,1,3,41,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",103.03
6379,Kevin Pietersen,21,14,0,2,25,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",150.0
6380,Mayank Agarwal,9,11,1,0,10,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",81.82
6381,Quinton de Kock,17,10,1,1,26,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",170.0
6382,Shreyas Iyer,0,3,0,0,-2,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",0.0
6383,Karun Nair,3,8,0,0,-3,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",37.5
6384,Sanju Samson,15,13,2,0,17,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",115.38
6385,Pawan Negi,11,19,0,1,13,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",57.89
6386,Carlos Brathwaite,6,4,0,1,8,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",150.0
6387,Chris Morris,11,9,2,0,13,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",122.22
6388,Nathan Coulter Nile,7,11,1,0,8,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",63.64
6389,Amit Mishra,3,9,0,0,-3,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",33.33
6390,Amit Mishra,3,9,0,0,-3,Gujarat Lions,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",33.33
6391,Zaheer Khan,4,9,1,0,-1,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",44.44
6392,Robin Uthappa,35,33,7,0,42,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",106.06
6393,Gautam Gambhir,38,41,5,0,43,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",92.68
6394,Manish Pandey,15,12,3,0,18,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,"Eden Gardens, Kolkata",125.0
6395,Murali Vijay,42,34,5,1,49,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",123.53
6396,Manan Vohra,38,23,4,2,46,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",165.22
6397,David Miller,15,10,1,1,18,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",150.0
6398,Glenn Maxwell,2,4,0,0,2,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",50.0
6399,Wriddhiman Saha,20,25,0,0,20,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",80.0
6400,Marcus Stoinis,33,22,4,0,37,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",150.0
6401,Axar Patel,4,2,0,0,10,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",200.0
6402,Mitchell Johnson,0,0,0,0,-2,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",
6403,Aaron Finch,74,47,12,0,86,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",157.45
6404,Brendon McCullum,0,2,0,0,-2,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
6405,Suresh Raina,20,9,1,2,31,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",222.22
6406,Dinesh Karthik,41,26,7,0,48,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",157.69
6407,Ravindra Jadeja,8,12,0,0,8,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",66.67
6408,Ishan Kishan,11,8,2,0,13,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",137.5
6409,Dwayne Bravo,2,2,0,0,2,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",100.0
6410,Chris Gayle,1,4,0,0,-5,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",25.0
6411,Virat Kohli,75,51,7,3,88,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",147.06
6412,AB de Villiers,82,42,7,6,107,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",195.24
6413,Shane Watson,19,8,0,3,31,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",237.5
6414,Sarfaraz Khan,35,10,5,2,50,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",350.0
6415,Kedar Jadhav,8,6,1,0,9,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",133.33
6416,David Warner,58,25,4,5,78,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",232.0
6417,Shikhar Dhawan,8,9,1,0,9,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",88.89
6418,Moises Henriques,19,23,2,0,21,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",82.61
6419,Naman Ojha,0,4,0,0,-2,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",0.0
6420,Deepak Hooda,6,6,1,0,7,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
6421,Eoin Morgan,22,18,2,0,24,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",122.22
6422,Ashish Reddy,32,18,2,3,46,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",177.78
6423,Karn Sharma,26,17,3,1,31,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru",152.94
6424,Robin Uthappa,8,10,1,0,9,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",80.0
6425,Gautam Gambhir,64,52,4,1,70,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",123.08
6426,Manish Pandey,52,29,3,3,67,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",179.31
6427,Andre Russell,36,17,1,4,51,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",211.76
6428,Yusuf Pathan,9,6,1,0,10,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",150.0
6429,Colin Munro,4,5,0,0,4,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",80.0
6430,Suryakumar Yadav,4,1,1,0,11,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata",400.0
6431,Rohit Sharma,84,54,10,2,98,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata",155.56
6432,Parthiv Patel,23,20,4,0,27,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata",115.0
6433,Hardik Pandya,9,10,0,0,9,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata",90.0
6434,Mitchell McClenaghan,20,8,0,3,32,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata",250.0
6435,Jos Buttler,41,22,3,3,56,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata",186.36
6436,Kieron Pollard,1,1,0,0,1,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata",100.0
6437,Ajinkya Rahane,21,17,4,0,25,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",123.53
6438,Faf du Plessis,69,43,5,4,82,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",160.47
6439,Kevin Pietersen,37,31,2,1,41,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",119.35
6440,Steven Smith,5,6,0,0,5,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",83.33
6441,MS Dhoni,22,10,2,1,32,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",220.0
6442,Mitchell Marsh,7,11,0,0,7,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",63.64
6443,Rajat Bhatia,0,2,0,0,-2,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",0.0
6444,Aaron Finch,50,36,7,2,61,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",138.89
6445,Brendon McCullum,49,31,3,3,58,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",158.06
6446,Suresh Raina,24,24,1,0,25,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",100.0
6447,Dwayne Bravo,22,10,3,1,33,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",220.0
6448,Ravindra Jadeja,4,8,0,0,4,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot",50.0
6449,Murali Vijay,1,5,0,0,-5,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",20.0
6450,Manan Vohra,32,24,5,0,37,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",133.33
6451,Shaun Marsh,13,16,2,0,15,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",81.25
6452,David Miller,9,9,1,0,10,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",100.0
6453,Glenn Maxwell,0,3,0,0,-2,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",0.0
6454,Axar Patel,11,22,1,0,12,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",50.0
6455,Wriddhiman Saha,3,7,0,0,-3,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",42.86
6456,Mitchell Johnson,4,12,0,0,-2,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",33.33
6457,Mohit Sharma,15,8,1,1,24,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",187.5
6458,Pardeep Sahu,18,12,1,1,21,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",150.0
6459,Sandeep Sharma,1,2,0,0,1,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",50.0
6460,Quinton de Kock,59,42,9,1,70,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",140.48
6461,Shreyas Iyer,3,5,0,0,3,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",60.0
6462,Sanju Samson,33,32,3,1,38,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",103.12
6463,Pawan Negi,8,2,0,1,16,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",400.0
6464,David Warner,13,12,2,0,15,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",108.33
6465,Shikhar Dhawan,6,7,1,0,7,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",85.71
6466,Moises Henriques,6,9,1,0,7,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",66.67
6467,Eoin Morgan,51,43,3,2,58,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",118.6
6468,Deepak Hooda,6,11,0,0,6,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",54.55
6469,Naman Ojha,37,28,2,2,43,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",132.14
6470,Ashish Reddy,13,8,0,1,15,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",162.5
6471,Karn Sharma,2,2,0,0,2,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",100.0
6472,Bhuvneshwar Kumar,0,1,0,0,-2,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.0
6473,Robin Uthappa,38,34,3,1,43,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",111.76
