,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
8956,MS Dhoni,0,2,0,0,-2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",0.0
8957,Prithvi Shaw,5,9,1,0,6,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,55.56
8958,Shikhar Dhawan,0,2,0,0,-2,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,0.0
8959,Shimron Hetmyer,7,13,1,0,8,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,53.85
8960,Shreyas Iyer,39,32,0,3,45,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,121.88
8961,Rishabh Pant,31,29,4,0,35,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,106.9
8962,Marcus Stoinis,53,21,7,3,72,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,252.38
8963,Axar Patel,6,9,0,0,6,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,66.67
8964,Ravichandran Ashwin,4,6,0,0,4,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,66.67
8965,Kagiso Rabada,0,0,0,0,-2,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,
8966,Anrich Nortje,3,1,0,0,9,Delhi Capitals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,300.0
8967,KL Rahul,21,19,2,1,25,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,110.53
8968,Mayank Agarwal,89,60,7,4,104,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,148.33
8969,Karun Nair,1,3,0,0,-5,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,33.33
8970,Nicholas Pooran,0,3,0,0,-2,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,0.0
8971,Glenn Maxwell,1,4,0,0,-5,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,25.0
8972,Sarfaraz Khan,12,12,2,0,14,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,100.0
8973,Krishnappa Gowtham,20,14,1,1,23,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,142.86
8974,Chris Jordan,5,6,0,0,5,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,83.33
8975,Mohammed Shami,0,0,0,0,-2,Punjab Kings,Delhi Capitals,Punjab Kings,field,Dubai International Cricket Stadium,
8976,Shubman Gill,1,6,0,0,-5,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",16.67
8977,Rahul Tripathi,1,5,0,0,-5,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",20.0
